,State Name,State_Names,latitude,longitude
1,ANDAMAN AND NICOBAR    ,Andaman And Nicobar    ,11.66702557,92.73598262
2,ANDHRA PRADESH     ,Andhra Pradesh     ,14.7504291,78.57002559
3,ARUNACHAL PRADESH    ,Arunachal Pradesh    ,27.10039878,93.61660071
4,ASSAM    ,Assam    ,26.7499809,94.21666744
5,BIHAR    ,Bihar    ,25.78541445,87.4799727
6,CHANDIGARH    ,Chandigarh    ,30.71999697,76.78000565
7,CHHATTISGARH    ,Chhattisgarh    ,22.09042035,82.15998734
8,DADRA AND NAGAR HAVELI     ,Dadra And Nagar Haveli     ,20.26657819,73.0166178
9,DELHI    ,Delhi    ,28.6699929,77.23000403
10,GOA    ,Goa    ,15.491997,73.81800065
11,HARYANA     ,Haryana     ,28.45000633,77.01999101
12,HIMACHAL PRADESH    ,Himachal Pradesh    ,31.10002545,77.16659704
13,JAMMU AND KASHMIR    ,Jammu And Kashmir    ,34.29995933,74.46665849
14,JHARKHAND    ,Jharkhand    ,23.80039349,86.41998572
15,KARNATAKA     ,Karnataka     ,12.57038129,76.91999711
16,KERALA    ,Kerala    ,8.900372741,76.56999263
17,LAKSHADWEEP    ,Lakshadweep    ,10.56257331,72.63686717
18,MADHYA PRADESH    ,Madhya Pradesh    ,21.30039105,76.13001949
19,MAHARASHTRA     ,Maharashtra     ,19.25023195,73.16017493
20,MANIPUR    ,Manipur    ,24.79997072,93.95001705
21,MEGHALAYA    ,Meghalaya    ,25.57049217,91.8800142
22,MIZORAM    ,Mizoram    ,23.71039899,92.72001461
23,NAGALAND    ,Nagaland    ,25.6669979,94.11657019
24,ORISSA    ,Orissa    ,19.82042971,85.90001746
25,PUDUCHERRY    ,Puducherry    ,11.93499371,79.83000037
26,PUNJAB    ,Punjab    ,31.51997398,75.98000281
27,RAJASTHAN     ,Rajasthan     ,26.44999921,74.63998124
28,SIKKIM    ,Sikkim    ,27.3333303,88.6166475
29,TAMIL NADU     ,Tamil Nadu     ,12.92038576,79.15004187
30,TRIPURA    ,Tripura    ,23.83540428,91.27999914
31,UTTAR PRADESH    ,Uttar Pradesh    ,27.59998069,78.05000565
32,UTTARANCHAL    ,Uttaranchal    ,30.32040895,78.05000565
33,WEST BENGAL     ,West Bengal     ,22.58039044,88.32994665
